entry	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)
sce:YOR327C	9	12	3
sce:YML064C	1	8	3
sce:YHR025W	0	3	2
sce:YNL129W	2	4	3
sce:YLR295C	4	4	0
sce:YOL100W	2	8	4
sce:YPR145W	2	3	2
sce:YMR172W	1	3	3
sce:YIL005W	2	3	3
sce:YOR175C	3	2	5
sce:YJL049W	3	2	0
sce:YHR205W	3	12	3
sce:YPR173C	9	21	4
sce:YNL192W	4	3	1
sce:YDR172W	4	3	5
sce:YMR226C	2	0	3
sce:YGR124W	2	3	2
sce:YIL066C	3	2	2
sce:YLR026C	5	7	2
sce:YDL042C	6	14	7
sce:YLL031C	2	2	2
sce:YDR272W	1	1	2
sce:YLL042C	1	6	1
sce:YAL010C	4	8	0
sce:YLR103C	5	4	3
sce:YBR011C	2	1	2
sce:YLR432W	2	2	5
sce:YER081W	1	2	3
sce:YGR019W	2	1	3
sce:YOL151W	2	3	6
sce:YPL231W	3	1	5
sce:YLL058W	0	2	3
sce:YDR127W	1	4	7
sce:YLR028C	1	2	2
sce:YFR047C	2	3	1
sce:YLR153C	3	3	4
sce:YMR296C	3	3	2
sce:YNR001C	4	4	2
sce:YIL049W	2	5	2
sce:YIR027C	1	2	3
sce:YGR087C	3	5	6
sce:YCR068W	4	9	2
sce:YDR477W	8	17	8
sce:YIL072W	4	5	2
sce:YLL026W	5	9	6
sce:YHR100C	3	1	1
sce:YGR267C	2	5	3
sce:YIL002C	3	3	2
sce:YDL178W	2	1	4
sce:YGL256W	1	2	2
sce:YHR183W	3	3	2
sce:YMR096W	1	5	2
sce:YDL078C	4	5	2
sce:YNL333W	0	5	3
sce:YKL087C	3	1	2
sce:YLR263W	3	7	3
sce:YER125W	10	36	4
sce:YKL212W	9	2	3
sce:YDR245W	4	4	1
sce:YER001W	2	2	1
sce:YKL165C	6	3	2
sce:YMR207C	2	3	4
sce:YLR155C	5	2	1
sce:YLR155C	3	2	1
sce:YLR155C	3	2	1
sce:YLR155C	4	2	1
sce:YHL002W	5	9	4
sce:YBL013W	2	1	1
sce:YBR097W	10	11	4
sce:YNL220W	1	3	4
sce:YDR498C	5	3	1
sce:YHL031C	4	5	1
sce:YCR097W	2	1	3
sce:YML001W	9	10	3
sce:YMR001C	6	13	7
sce:YGR032W	5	3	1
sce:YOL136C	2	3	3
sce:YML019W	2	3	1
sce:YOL156W	2	3	5
sce:YDL166C	3	3	3
sce:YGR043C	2	3	1
sce:YPR006C	2	1	2
sce:YLR209C	1	4	3
sce:YGL037C	4	4	2
sce:YJL101C	1	3	2
sce:YMR008C	7	3	3
sce:YDL080C	2	4	4
sce:YBR039W	5	1	1
sce:YLR362W	1	10	6
sce:YKL013C	3	4	2
sce:YGR023W	2	4	0
sce:YLR304C	5	2	7
sce:YPL234C	7	4	1
sce:YDL008W	2	8	4
sce:YOR109W	3	3	4
sce:YDL127W	6	8	2
sce:YOR323C	3	2	2
sce:YDL149W	9	8	1
sce:YGR277C	3	1	3
sce:YAR015W	2	2	2
sce:YMR159C	8	10	2
sce:YDL056W	3	3	2
sce:YMR313C	1	3	2
sce:YNL128W	5	6	3
sce:YAL014C	5	6	2
sce:YDR328C	8	26	2
